item_id,title,genre
1,Kate & Leopold,"Comedy, Fantasy, Romance"
2,Glitter,"Drama, Music, Romance"
3,Fa yeung nin wah,"Drama, Romance"
4,State and Main,"Comedy, Drama"
5,Sånger från andra våningen,"Comedy, Drama"
6,Chicken Run,"Animation, Adventure, Comedy"
7,Fantastic Four,"Action, Adventure, Fantasy"
8,Frida,"Biography, Drama, Romance"
9,From Hell,"Horror, Mystery, Thriller"
10,The Lord of the Rings: The Fellowship of the Ring,"Action, Adventure, Drama"
11,The Million Dollar Hotel,"Drama, Mystery, Thriller"
12,Mission: Impossible II,"Action, Adventure, Thriller"
13,Resident Evil,"Action, Horror, Sci-Fi"
14,The Shipping News,Drama
15,X-Men,"Action, Adventure, Sci-Fi"
16,Men in Black II,"Action, Adventure, Comedy"
17,Titan A.E.,"Animation, Action, Adventure"
18,The Emperor's New Groove,"Animation, Adventure, Comedy"
19,Corpse Bride,"Animation, Drama, Family"
20,Star Wars: Episode II - Attack of the Clones,"Action, Adventure, Fantasy"
21,Star Wars: Episode III - Revenge of the Sith,"Action, Adventure, Fantasy"
22,Return to Me,"Comedy, Drama, Romance"
23,Heartbreakers,"Comedy, Crime, Romance"
24,Shrek,"Animation, Adventure, Comedy"
25,Dinosaur,"Animation, Adventure, Family"
26,The Adventures of Rocky & Bullwinkle,"Animation, Adventure, Comedy"
27,Driven,"Action, Drama, Sport"
28,The Crow: Salvation,"Action, Crime, Fantasy"
29,Planet of the Apes,"Action, Adventure, Sci-Fi"
30,Treasure Planet,"Animation, Adventure, Family"
31,Scream 3,"Horror, Mystery"
32,Pitch Black,"Action, Horror, Sci-Fi"
33,Supernova,"Horror, Sci-Fi, Thriller"
34,Intolerable Cruelty,"Comedy, Crime, Romance"
35,The Road to El Dorado,"Animation, Adventure, Comedy"
36,The Yards,"Crime, Drama, Romance"
37,Training Day,"Crime, Drama, Thriller"
38,U-571,"Action, War"
39,American Psycho,"Comedy, Crime, Drama"
40,Nutty Professor II: The Klumps,"Comedy, Romance, Sci-Fi"
41,Highlander: Endgame,"Action, Adventure, Fantasy"
42,Spider-Man,"Action, Adventure, Sci-Fi"
43,Thirteen Days,"Drama, History, Thriller"
44,Lara Croft: Tomb Raider,"Action, Adventure, Fantasy"
45,High Fidelity,"Comedy, Drama, Music"
46,The Legend of Bagger Vance,"Drama, Fantasy, Sport"
47,All the Pretty Horses,"Drama, Romance, Western"
48,My Dog Skip,"Comedy, Drama, Family"
49,The Next Best Thing,"Comedy, Drama, Romance"
50,2001: A Space Travesty,"Comedy, Sci-Fi"
51,Clockstoppers,"Action, Adventure, Comedy"
52,Enigma,"Drama, Mystery, Romance"
53,The Flintstones in Viva Rock Vegas,"Comedy, Family, Romance"
54,Behind Enemy Lines,"Action, Drama, Thriller"
55,Cold Mountain,"Adventure, Drama, History"
56,The Art of War,"Action, Adventure, Crime"
57,Charlie's Angels,"Action, Adventure, Comedy"
58,D-Tox,"Crime, Thriller"
59,Impostor,"Drama, Mystery, Sci-Fi"
60,Lost Souls,"Drama, Horror, Thriller"
61,Ordinary Decent Criminal,"Comedy, Crime"
62,Rules of Engagement,"Drama, Thriller, War"
63,What Lies Beneath,"Drama, Fantasy, Horror"
64,What's the Worst That Could Happen?,"Comedy, Crime"
65,Nirgendwo in Afrika,"Biography, Drama, History"
66,Cast Away,"Adventure, Drama, Romance"
67,Ghost World,"Comedy, Drama"
68,Shaft,"Action, Crime, Thriller"
69,Hanging Up,"Comedy, Drama"
70,Jurassic Park III,"Action, Adventure, Sci-Fi"
71,The Beach,"Adventure, Drama, Romance"
72,Bless the Child,"Crime, Drama, Horror"
73,Hollow Man,"Action, Horror, Sci-Fi"
74,The Sum of All Fears,"Action, Drama, Thriller"
75,Under Suspicion,"Crime, Drama, Thriller"
76,Along Came a Spider,"Drama, Thriller"
77,Vidocq,"Action, Crime, Fantasy"
78,Interstate 60: Episodes of the Road,"Adventure, Comedy, Drama"
79,Romeo Must Die,"Action, Crime, Thriller"
80,Sinbad: Legend of the Seven Seas,"Animation, Adventure, Family"
81,Monkeybone,"Animation, Comedy, Fantasy"
82,Spirit: Stallion of the Cimarron,"Animation, Adventure, Drama"
83,Mulholland Dr.,"Drama, Mystery, Thriller"
84,Hellboy,"Action, Fantasy, Horror"
85,The Lord of the Rings: The Return of the King,"Action, Adventure, Drama"
86,The Lord of the Rings: The Two Towers,"Action, Adventure, Drama"
87,Thunderbirds,"Action, Adventure, Comedy"
88,Dancer in the Dark,"Crime, Drama, Musical"
89,Antwone Fisher,"Biography, Drama"
90,Lagaan: Once Upon a Time in India,"Adventure, Drama, Musical"
91,How the Grinch Stole Christmas,"Comedy, Family, Fantasy"
92,Tigerland,"Drama, War"
93,Keeping the Faith,"Comedy, Drama, Romance"
94,Nurse Betty,"Comedy, Crime, Drama"
95,Bad Boys II,"Action, Comedy, Crime"
96,Gladiator,"Action, Adventure, Drama"
97,Cecil B. Demented,"Comedy, Crime, Thriller"
98,Final Fantasy: The Spirits Within,"Animation, Action, Adventure"
99,Autumn in New York,"Drama, Romance"
100,Scary Movie,Comedy
101,Cherry Falls,"Horror, Mystery, Thriller"
102,Gossip,"Drama, Mystery, Thriller"
103,Im Juli,"Adventure, Comedy, Romance"
104,The Perfect Storm,"Action, Adventure, Drama"
105,Moonlight Mile,"Drama, Romance"
106,15 Minutes,"Action, Crime, Drama"
107,The Adventures of Pluto Nash,"Comedy, Action, Sci-Fi"
108,Quills,"Biography, Drama"
109,Requiem for a Dream,Drama
110,Hard Ball,"Drama, Sport"
111,Finding Forrester,Drama
112,Minority Report,"Action, Crime, Mystery"
113,Osmosis Jones,"Animation, Action, Adventure"
114,Terminator 3: Rise of the Machines,"Action, Sci-Fi"
115,Traffic,"Crime, Drama, Thriller"
116,Almost Famous,"Adventure, Comedy, Drama"
117,Boiler Room,"Crime, Drama, Thriller"
118,"Me, Myself & Irene",Comedy
119,Mission to Mars,"Adventure, Sci-Fi, Thriller"
120,Phone Booth,"Crime, Thriller"
121,Pollock,"Biography, Drama"
122,A Knight's Tale,"Action, Adventure, Romance"
123,Taxi 2,"Action, Comedy, Crime"
124,O,"Drama, Romance, Thriller"
125,Reindeer Games,"Action, Adventure, Crime"
126,Shanghai Noon,"Action, Adventure, Comedy"
127,Snow Day,"Adventure, Comedy, Family"
128,Wonder Boys,"Comedy, Drama"
129,Battlefield Earth,"Action, Adventure, Sci-Fi"
130,Little Nicky,"Comedy, Fantasy"
131,Drowning Mona,"Comedy, Crime, Mystery"
132,Frequency,"Crime, Drama, Mystery"
133,Space Cowboys,"Action, Adventure, Thriller"
134,Sugar & Spice,"Comedy, Crime"
135,Bounce,"Drama, Romance"
136,Down to You,"Comedy, Drama, Romance"
137,Gone in Sixty Seconds,"Action, Crime, Thriller"
138,The Patriot,"Action, Drama, History"
139,Anatomie,"Horror, Thriller"
140,Blade II,"Action, Fantasy, Horror"
141,Birthday Girl,"Comedy, Crime, Thriller"
142,Just Visiting,"Comedy, Fantasy, Sci-Fi"
143,Shadow of the Vampire,"Drama, Horror"
144,The Whole Nine Yards,"Comedy, Crime"
145,Wo hu cang long,"Action, Adventure, Fantasy"
146,Dungeons & Dragons,"Action, Adventure, Fantasy"
147,"O Brother, Where Art Thou?","Adventure, Comedy, Crime"
148,Vertical Limit,"Action, Adventure, Drama"
149,The Replacements,"Comedy, Sport"
150,28 Days,"Comedy, Drama"
151,Get Over It,"Comedy, Romance"
152,Head Over Heels,"Comedy, Mystery, Romance"
153,The Skulls,"Action, Crime, Drama"
154,Urban Legends: Final Cut,"Horror, Mystery, Thriller"
155,Saving Grace,"Comedy, Crime"
156,Erin Brockovich,"Biography, Drama"
157,Final Destination,"Horror, Thriller"
158,Next Friday,Comedy
159,Small Time Crooks,"Comedy, Crime"
160,Zoolander,Comedy
161,Where the Heart Is,"Comedy, Drama, Romance"
162,"Monsters, Inc.","Animation, Adventure, Comedy"
163,In the Cut,"Mystery, Thriller"
164,Love & Basketball,"Drama, Romance, Sport"
165,Red Planet,"Action, Sci-Fi, Thriller"
166,Riding in Cars with Boys,"Biography, Comedy, Drama"
167,The Bank Job,"Crime, Thriller"
168,Coyote Ugly,"Comedy, Drama, Music"
169,Rock Star,"Drama, Music"
170,The Way of the Gun,"Action, Crime, Drama"
171,Moulin Rouge!,"Drama, Musical, Romance"
172,Men of Honor,"Biography, Drama"
173,Sexy Beast,"Crime, Drama, Thriller"
